,quoteID,quotation,speaker,qids,date,numOccurrences,probas,urls,phase
5025019,2016-09-22-029581,Gun control is about more than just signs telling people not to do stuff.,Trevor Noah,['Q7839350'],2016-09-22 14:26:53,1,"[['Trevor Noah', '0.9074'], ['None', '0.0926']]",['http://thefederalist.com/2016/09/22/watch-daily-shows-trevor-noah-accidentally-destroy-case-gun-control/'],E
5025267,2016-05-20-031287,"Hillary Clinton, and I call her Crooked Hillary, she wants to abolish the Second Amendment. We're not going to let that happen I'll tell you that right now. We are going to preserve it, we are going to cherish it,",Donald Trump,"['Q22686', 'Q27947481']",2016-05-20 20:30:24,1,"[['Donald Trump', '0.5605'], ['None', '0.4395']]",['http://www.breitbart.com/2016-presidential-race/2016/05/20/donald-trump-tells-nra-hillary-clintons-guards-should-disarm-if-she-doesnt-like-guns/#disqus_thread'],E
5031362,2016-04-21-017475,concerns about how police would be able to tell whether a person open carrying is a felon or is mentally competent to carry a gun.,None,[],2016-04-21 15:11:18,1,"[['None', '0.6976'], ['Nathan Dahm', '0.1548'], ['Mary Fallin', '0.1476']]",['http://www.breitbart.com/big-government/2016/04/21/oklahoma-senate-2nd-amendment-your-open-carry-permit/#disqus_thread'],E
5031485,2016-08-22-016708,"Don't mess with the Second Amendment,",Patricia Benner,['Q16105848'],2016-08-22 16:29:21,7,"[['Patricia Benner', '0.575'], ['None', '0.425']]","['http://courierpress.com/story/opinion/2016/08/22/nation-needs-ban-semi-automatic-rifles/89115212/', 'http://indystar.com/story/opinion/2016/08/22/nation-needs-ban-semi-automatic-rifles/89115212/', 'http://www.beloitdailynews.com/editorials/20171108/stop_kneeling_toa_small_minority']",E
5034269,2016-04-25-064504,"now that she's running against Bernie, she's back to for gun control.",Jane Sanders,"['Q20165782', 'Q22575761']",2016-04-25 16:10:58,1,"[['Jane Sanders', '0.7248'], ['None', '0.2067'], ['Hillary Clinton', '0.0605'], ['Governor Dannel Malloy', '0.0046'], ['Barack Obama', '0.0034']]",['http://news.vice.com/article/sanders-clinton-gun-control-sandy-hook-connecticut-primary'],E
5034754,2016-07-27-099523,"shocking that over 10,000 copycat assault weapons were sold last year in Massachusetts.",David Sullivan,"['Q1046824', 'Q16196719', 'Q5240170', 'Q57436725']",2016-07-27 13:40:20,11,"[['David Sullivan', '0.9038'], ['None', '0.0804'], ['Jim Wallace', '0.0083'], ['Maura Healey', '0.0076']]","['http://tauntongazette.com/news/20160727/baker-letter-adds-to-debate-over-healeys-weapons-crackdown', 'http://heraldnews.com/news/20160727/baker-letter-adds-to-debate-over-healeys-weapons-crackdown', 'http://wbjournal.com/article/20160727/NEWS01/160729945/1002', 'http://telegram.com/news/20160727/rep-harold-naughton-attorney-general-healey-overstepping-authority-on-guns', 'http://metrowestdailynews.com/news/20160727/rep-naughton-ag-overstepping-authority-on-copycat-assault-weapons', 'http://milforddailynews.com/news/20160727/rep-naughton-ag-overstepping-authority-on-copycat-assault-weapons', 'http://gloucestertimes.com/news/local_news/healey-overstepping-on-guns-lawmakers-say/article_7fbfa32d-fcda-542a-b26a-8234da909935.html', 'http://heraldnews.com/article/20160727/NEWS/160726955/1299/FRONTPAGE', 'http://wbjournal.com/article/20160727/NEWS01/160729945', 'http://wbjournal.com/article/20160728/NEWS01/160729934/1002']",E
5047135,2016-09-28-067278,It was interesting that the gun lobby-endorsed candidate tried to claim he supports legislation,None,[],2016-09-28 04:29:44,1,"[['None', '0.8857'], ['Donald Trump', '0.0574'], ['Hillary Clinton', '0.0569']]",['http://10thousandcouples.com/2016/09/cruz-says-he-offered-to-aid-trump-campaign/'],E
5047712,2016-08-31-077332,"McCain, R-Ariz., who is seeking a sixth, six-year Senate term, had been targeted for defeat by conservatives who deem him too liberal on issues such as immigration reform and gun control. But as he did in his 2010 GOP primary, McCain on Tuesday appeared to be outpacing his opponents on the right, leading Ward by a wide margin among early votes in the most-populous Maricopa County.",Harry Reid,"['Q19650494', 'Q21466700', 'Q314459', 'Q5671912']",2016-08-31 12:14:45,3,"[['Harry Reid', '0.2953'], ['None', '0.2638'], ['Kelli Ward', '0.2286'], ['John McCain', '0.1647'], ['Alan Grayson', '0.0211'], ['Debbie Wasserman Schultz', '0.0119'], ['Andy Towle', '0.0041'], ['Rob Portman', '0.0037'], ['Paul Babeu', '0.0025'], ['Marco Rubio', '0.0023'], ['Patrick Murphy', '0.0023']]","['http://www.nbcnews.com/politics/first-read/first-read-s-morning-clips-border-n640546', 'http://feeds.towleroad.com/~r/towleroad/feed/~3/99qPfrwoz1E/', 'http://www.towleroad.com/2016/08/primary-results-mccain-wasserman-schultz-murphy-rubio/']",E
5049932,2016-08-03-114932,"Voters in Kansas' 1st District primary chose newcomer Roger Marshall over three-term incumbent Rep. Tim Huelskamp, one of the most outspoken conservatives in Congress.... Huelskamp would be the third Republican House incumbent to lose this year. On most issues, be it Obamacare, the Second Amendment or Planned Parenthood, Huelskamp and Marshall weren't that far apart. But Huelskamp's confrontational, anti-establishment approach had turned off his colleagues on Capitol Hill as well as many farm groups in the sprawling, 63-county district he represented. `I think his personality is the underlying issue,' Patrick Miller, an assistant professor of political science at the University of Kansas, said of Huelskamp.... The race drew millions of dollars in outside money, including $400,000 from the U.S. Chamber alone. In a statement, Rob Engstrom, the chamber's national political director, called Marshall's victory `decisive.' `Governing was on the ballot,' he said in a statement Tuesday, `and voters spoke clearly.",None,[],2016-08-03 16:55:00,1,"[['None', '0.5272'], ['Hillary Clinton', '0.4558'], ['Donald Trump', '0.017']]",['http://feeds.foxnews.com/~r/foxnews/politics/~3/_s01LZ-rXo0/obama-jumps-in-ring-with-trump.html'],E
5050035,2016-07-27-137890,"We are thrilled to have Senator Settelmeyer speaking up to defend our freedoms in Nevada. His will be an important voice as we work to defeat this gun control law that will not make Nevadans safer. Instead, in addition to costing them time and money, it could easily turn many law-abiding gun owners in criminals.",None,[],2016-07-27 17:07:04,1,"[['None', '0.7933'], ['James Settelmeyer', '0.1761'], ['Kevin Wall', '0.0306']]",['https://www.nraila.org/articles/20160727/state-senator-james-settelmeyer-comes-out-against-question-1-gun-control-ballot-initiative'],E
5050635,2016-05-11-147746,"We've heard from so many people who have guns, who are pro-Second Amendment rights, who think this is a ludicrous policy,",None,[],2016-05-11 04:00:00,1,"[['None', '0.6431'], ['Bill Cowsert', '0.1352'], ['Laura Solomon', '0.0846'], ['Jere Morehead', '0.0686'], ['Hank Huckaby', '0.0685']]",['http://www.flagpole.com/news/news-features/2016/05/11/how-athens-helped-kill-the-campus-carry-bill'],E
5051010,2016-09-25-087726,"You know, if you're running against a Clinton, veracity is certainly always on the table. I mean, this is a woman whose five people were involved with her e-mail scandal, were granted immunity. She's not very fond of the Second Amendment, of course, but she seems very fond of the Fifth Amendment... So Hillary Clinton's casual relationship with the truth is well known to Americans. I'm sure we'll see it on full display tomorrow night.",Kellyanne Conway,['Q6386365'],2016-09-25 17:58:15,1,"[['Kellyanne Conway', '0.6711'], ['None', '0.1283'], ['Donald Trump', '0.1113'], ['Robby Mook', '0.0591'], ['Hillary Clinton', '0.0302']]",['http://www.newsweek.com/campaign-surrogates-spin-expectations-ahead-debate-502568'],E
5052821,2016-05-09-030739,"I feel like this is unfinished business in our country, and I am very determined that we are going to try to bring some sanity back, so that people's Second Amendment rights are protected -- but they are not absolute, the way the NRA wants them to be,",Hillary Clinton,['Q6294'],2016-05-09 16:06:23,1,"[['Hillary Clinton', '0.6591'], ['None', '0.3263'], ['Emily Miller', '0.0074'], ['Donald Trump', '0.0072']]",['http://mediamatters.org/research/2016/05/09/trump-parrots-right-wing-media-s-bogus-claims-about-clinton-s-gun-policies/210306'],E
5059535,2016-05-11-040724,I got your gun control right here b *** h!,None,[],2016-05-11 05:45:38,3,"[['None', '0.6179'], ['Hillary Clinton', '0.1312'], ['Bernie Sanders', '0.0863'], ['Dennis Gray', '0.0446'], ['Barack Obama', '0.0367'], ['Rahm Emanuel', '0.0223'], ['Ted Nugent', '0.022'], ['Michael Bloomberg', '0.0206'], ['Charles Schumer', '0.0181']]","['http://www.bizpacreview.com/2016/05/11/ted-nugents-video-share-explodes-heads-bernie-sanders-pulls-gun-shoots-hillary-over-gun-control-339019', 'http://feeds.nydailynews.com/~r/nydnrss/news/national/~3/CJHIEzHCubY/nugent-visits-trump-history-anti-semitism-controversy-article-1.3079634', 'http://feeds.nydailynews.com/~r/nydnrss/sports/hockey/islanders/~3/CJHIEzHCubY/nugent-visits-trump-history-anti-semitism-controversy-article-1.3079634']",E
5061108,2016-09-06-063652,"I've seen his language, and if you go back to our first debate, he's not the first one to talk about it. I'm the first one to talk about it with our seniors receiving social security benefits and taking the cap off of social security, gun control. I'm the one that spoke about it,",Mike Miller,"['Q16185439', 'Q16213405', 'Q19667639', 'Q2064643', 'Q25190524', 'Q380541', 'Q6848025', 'Q6848026', 'Q6848027', 'Q6848031']",2016-09-06 11:21:25,1,"[['Mike Miller', '0.5247'], ['None', '0.4632'], ['Lisa Blunt Rochester', '0.0121']]",['http://delawareonline.com/story/news/politics/firststatepolitics/2016/09/06/use-first-and-only-stir-charges-house-race/89762084/'],E
5068723,2016-04-26-081455,"Rejecting the nominee because he is wrong on the Second Amendment and wrong on labor unions is not obstructionism,",David Jolly,"['Q15963996', 'Q21529449']",2016-04-26 03:46:12,1,"[['David Jolly', '0.6967'], ['None', '0.2624'], ['President Barack Obama', '0.0179'], ['Alan Grayson', '0.0143'], ['Merrick Garland', '0.0087']]",['http://staugustine.com/news/florida-news/2016-04-25/grayson-jolly-get-crowd-sourced-questions-debate'],E
5068843,2016-05-20-090408,She wants to abolish the Second Amendment. She wants to take your guns away. Just remember that.,Donald Trump,"['Q22686', 'Q27947481']",2016-05-20 19:31:07,1,"[['Donald Trump', '0.8241'], ['None', '0.1121'], ['Hillary Clinton', '0.0441'], ['President Obama', '0.0197']]",['http://www.dailydot.com/politics/donald-trump-nra-gun-free-zones/'],E
5070220,2016-07-25-105928,"Today, it's Healey's interpretation of gun laws that have been on the books for years. Who knows what she will do next. We are working on finding solutions to protect the rights of law abiding citizens.",Susan Williams Gifford,['Q7648542'],2016-07-25 20:14:20,1,"[['Susan Williams Gifford', '0.6118'], ['None', '0.3747'], ['Maura Healey', '0.0135']]",['http://wareham.wickedlocal.com/news/20160725/rep-gifford-calls-on-attorney-general-to-rescind-latest-gun-law-enforcement-notice'],E
5075486,2016-08-03-081862,rifles that look just like assault weapons that liberal lawmakers want to deny to law-abiding citizens.,Richard Greene,"['Q1243363', 'Q28868154', 'Q53794052', 'Q7325039', 'Q7326062', 'Q7326063']",2016-08-03 21:53:48,1,"[['Richard Greene', '0.8479'], ['None', '0.1521']]",['http://www.star-telegram.com/opinion/letters-to-the-editor/article93575422.html#storylink=hpdigest'],E
5075720,2016-07-09-044307,Somebody make change. We need gun control and unity. And a real President so think about that when this election is around the corner. The world is a precarious place right now.,None,[],2016-07-09 04:00:00,3,"[['None', '0.5541'], ['Mischa Barton', '0.2763'], ['Alton Sterling', '0.1696']]","['http://au.askmen.com/news/entertainment/mischa-barton-alton-sterling-instagram.html', 'http://ca.askmen.com/news/entertainment/mischa-barton-alton-sterling-instagram.html', 'http://www.askmen.com/news/entertainment/mischa-barton-alton-sterling-instagram.html']",E
5079359,2016-05-11-027381,"Get em, Uncle Ted! These gun control people have lost their marbles,",None,[],2016-05-11 00:00:00,1,"[['None', '0.9637'], ['Ted Nugent', '0.0363']]",['http://www.theblaze.com/stories/2016/05/11/i-got-your-gun-control-right-here-bh-ted-nugent-shocks-by-sharing-fake-video-of-clinton-being-shot/?utm_source=TheBlaze.com&utm_medium=rss&utm_campaign=story&utm_content=i-got-your-gun-control-right-here-bh-ted-nugent-shocks-by-sharing-fake-video-of-clinton-being-shot'],E
5079905,2016-02-13-026072,"I don't really see Sanders as a protector of the Second Amendment,",Scott Wilson,"['Q16194870', 'Q16225692', 'Q39073743', 'Q3952879', 'Q41446754', 'Q51216278', 'Q718135', 'Q7437523', 'Q7437524', 'Q7437525', 'Q7437528', 'Q7437529']",2016-02-13 05:21:35,4,"[['Scott Wilson', '0.7915'], ['None', '0.1762'], ['Bernie Sanders', '0.0236'], ['Hillary Clinton', '0.0049'], ['Donald Trump', '0.0038']]","['http://westport-news.com/news/article/Plan-B-Gun-control-groups-eye-Mike-Bloomberg-for-6827663.php', 'http://stamfordadvocate.com/news/article/Plan-B-Gun-control-groups-eye-Mike-Bloomberg-for-6827663.php', 'http://newstimes.com/news/article/Plan-B-Gun-control-groups-eye-Mike-Bloomberg-for-6827663.php', 'http://greenwichtime.com/news/article/Plan-B-Gun-control-groups-eye-Mike-Bloomberg-for-6827663.php']",E
5081498,2016-09-08-076331,"Kagan met with dozens of members of Congress, many of whom questioned her about her stance on the Second Amendment. Kagan, who grew up in New York City, said she had never shot or held a gun. Sen. James Risch, R-Idaho, told her that hunting was important to his constituents and questioned whether she could see that importance. He spoke in length about his ranch where he often hunted, Kagan remembered.",Elena Kagan,['Q11105'],2016-09-08 12:41:32,4,"[['Elena Kagan', '0.4605'], ['None', '0.2423'], ['Betsy Russell', '0.1823'], ['Antonin Scalia', '0.1149']]","['http://m.spokesman.com/blogs/boise/2016/sep/08/supreme-court-justice-elena-kagans-jim-risch-story/', 'http://www.spokesman.com/blogs/boise/2016/sep/08/supreme-court-justice-elena-kagans-jim-risch-story/', 'http://www.spokesman.com/blogs/hbo/2016/sep/08/justice-kagan-tells-risch-story/', 'http://m.spokesman.com/stories/2016/sep/10/if-trends-hold-idaho-headed-for-a-state-budget-sur/']",E
5083096,2016-07-08-092857,"The thing I'm most concerned with is strengthening our Second Amendments rights and in controlling our state budget, cutting it down,",Doug Overbey,['Q5300793'],2016-07-08 05:45:00,1,"[['Doug Overbey', '0.864'], ['None', '0.136']]",['http://themountainpress.com/news/candidates-lining-up-as-primary-nears/article_2205b31c-dbeb-53ee-b114-9cf4978e9093.html'],E
5084358,2016-07-27-147260,"We were talking about all these crazy gun laws, open carry, guns in churches.",Harold Mitchell,['Q16106014'],2016-07-27 22:40:28,3,"[['Harold Mitchell', '0.7031'], ['None', '0.2969']]","['http://postandcourier.com/20160727/160729420/emanuel-ame-shooting-survivors-urge-action-on-new-gun-laws-in-emotional-appeal-at-dnc', 'http://postandcourier.com/20160727/160729420/polly-sheppard-felicia-sanders-urge-action-on-new-gun-laws', 'http://www.postandcourier.com/20160727/160729420/emanuel-ame-shooting-survivors-urge-action-on-new-gun-laws-in-emotional-appeal-at-dnc&amp;source=RSS']",E
5086195,2016-05-27-028040,"Guns cross state lines as easily as cars do. If your state has strong gun laws but the neighboring state does not have strong gun laws, the guns come into your state. That's called the Iron Pipeline.",President Barack Obama,['Q76'],2016-05-27 09:11:00,2,"[['President Barack Obama', '0.9459'], ['None', '0.0541']]","['http://feeds.chicagotribune.com/~r/chicagotribune/religion/~3/trVU--LVqEE/ct-memorial-day-violence-chicago-huppke-20160527-story.html', 'http://www.chicagotribune.com/ct-memorial-day-violence-chicago-huppke-20160527-story.html']",E
5086453,2016-02-19-032319,"Homicides in Toronto spiked to 80 in 2005, from 64 in 2004, and the majority were shooting-related. About 70 percent of the guns used were handguns and automatic weapons smuggled from the United States, police say.",William Marsden,['Q56808580'],2016-02-19 07:30:00,1,"[['William Marsden', '0.6816'], ['None', '0.3184']]",['https://www.washingtonpost.com/opinions/an-american-export-canadians-dont-want-illegal-guns/2016/02/19/b65d7b72-d69a-11e5-be55-2cc3c1e4b76b_story.html'],E
5088786,2016-05-20-083124,"Our defense of the Second Amendment should always remind liberals that the right to bear arms is right next to the right to free speech, to the right to practice your religion and the right to freely associate with your friends and neighbors,",Rand Paul,['Q463557'],2016-05-20 18:24:27,2,"[['Rand Paul', '0.768'], ['None', '0.232']]","['http://courier-journal.com/story/news/local/2016/05/20/rand-paul-defends-second-amendment-nra-rally/84676352/', 'http://rssfeeds.courier-journal.com/~/155114420/0/courierjournal/news~Rand-Paul-defends-Second-Amendment-at-NRA-rally/']",E
5090395,2016-07-17-060969,"This is not so much about gun control, as it is about what's in men's hearts.",None,[],2016-07-17 15:56:00,12,"[['None', '0.6948'], ['Governor John Bel Edwards', '0.2431'], ['Kip Holden', '0.0392'], ['Alton Sterling', '0.0229']]","['http://courant.com/nation-world/la-na-baton-rouge-police-killed-live-updates-htmlstory.html#nt=oft12aH-1la1', 'http://www.orlandosentinel.com/news/la-na-baton-rouge-police-shooting-20160717-snap-story.html', 'http://www.brisbanetimes.com.au/world/baton-rouge-police-shooting-three-officers-dead-manhunt-underway-20160718-gq7r3w.html', 'http://www.smh.com.au/world/baton-rouge-police-shooting-three-officers-dead-20160718-gq7r3w.html', 'http://www.theage.com.au/world/baton-rouge-police-shooting-three-officers-dead-20160718-gq7r3w.html', 'http://www.breitbart.com/texas/2016/07/17/sheriff-shooting-deaths-baton-rouge-officers-hearts-not-guns/#disqus_thread', 'http://www.brisbanetimes.com.au/world/baton-rouge-police-shooting-three-officers-dead-20160718-gq7r3w.html', 'http://ijr.com/2016/07/652025-governor-police-presser-baton-rouge/', 'http://feeds.latimes.com/~r/latimes/entertainment/news/music/~3/TfiEd6Eoy5M/la-na-baton-rouge-police-killed-live-baton-rouge-police-chief-we-will-get-1468792796-htmlstory.html', 'http://www.nationalreview.com/corner/437973/baton-rouge-police-shooting-three-officers-dead-three-wounded', 'http://texarkanagazette.com/news/national/story/2016/jul/18/marine-identified-suspect-fatal-attack-law-enforcement/632119/', 'http://kpel965.com/what-we-know-today-tragedy-in-baton-rouge/']",E
5091581,2016-08-06-068343,You better welcome judges that'll take away the Second Amendment.,None,[],2016-08-06 07:30:00,1,"[['None', '0.8267'], ['Donald Trump', '0.1733']]",['http://www.hollywoodreporter.com/news/scott-baio-defends-rnc-speech-917765'],E
5094985,2016-06-02-000853,It's time for our legislators to pass common sense gun laws that respect the 2 nd amendment while reducing alarming levels of gun violence that plague our country.,Chris Blue,['Q30033727'],2016-06-02 22:58:51,1,"[['Chris Blue', '0.5028'], ['None', '0.4972']]",['http://chapelboro.com/featured/chapel-hill-joins-national-gun-violence-awareness-day'],E
5097695,2016-08-24-132315,"We expect that a non-discriminatory criteria based approach is followed for extending NSG membership which strengthens the non-proliferation regime,",Maleeha Lodhi,['Q6743544'],2016-08-24 07:24:31,1,"[['Maleeha Lodhi', '0.9399'], ['None', '0.0601']]",['https://www.geo.tv/latest/112331-Time-to-make-Pakistan-member-of-NSG-Maleeha-Lodhi'],E
5099056,2016-09-02-010113,ban the sale of assault weapons.,None,[],2016-09-02 19:23:34,3,"[['None', '0.3212'], ['Claudia Ruiz Massieu', '0.3114'], ['Kyle Kashuv', '0.2734'], ['Barack Obama', '0.0939']]","['https://www.nraila.org/articles/20160902/recent-un-arms-trade-treaty-conference-marks-dangerous-shift-in-us-policy', 'http://insider.foxnews.com/2018/03/23/kyle-kashuv-left-out-time-magazine-cover-defends-nra-second-amendment', 'https://www.elitedaily.com/p/mitch-mcconnell-said-congress-cant-do-much-about-school-shootings-wtf-dude-9671782']",E
5103535,2016-09-20-117763,"there were two guys who were shot. With some kind of automatic weapons. Two magazines, perhaps. It may not be what you would expect when you are out walking the dog.",Tina Svensson,['Q3291314'],2016-09-20 10:04:12,1,"[['Tina Svensson', '0.8715'], ['None', '0.1285']]",['http://www.breitbart.com/london/2016/09/20/80-per-cent-swedish-police-consider-quitting-due-danger/'],E
5106822,2016-09-29-042597,"I do believe we need stricter gun laws that apply to everyone, not just people of color in certain neighborhoods... they shouldn't live with police harassing them everyday because of what they look like and what neighborhood they grew up in.",John Legend,['Q44857'],2016-09-29 16:47:00,2,"[['John Legend', '0.604'], ['DJ Envy', '0.2369'], ['None', '0.1382'], ['Stevie Wonder', '0.0084'], ['Stephen Merchant', '0.0074'], ['Donald Trump', '0.0051']]","['http://www.billboard.com/node/7526373', 'http://www.billboard.com/articles/columns/hip-hop/7526373/john-legend-breakfast-club']",E
5106985,2016-05-27-042748,"I just encourage people to look at the two candidates, look seriously at them, look at the positions that Hillary Clinton has taken for example, on the Second Amendment. That's just so black and white in a state like Alaska. She's going to take your guns and Trump will keep your guns. Wow! I mean enough said.",Jim Crawford,"['Q6194412', 'Q6194414', 'Q6194417']",2016-05-27 04:30:00,1,"[['Jim Crawford', '0.9592'], ['None', '0.0331'], ['Donald Trump', '0.0077']]",['http://youralaskalink.com/news/ak-trump-campaign-chairman-jim-crawford-i-d-like-to/article_b123f5de-23c3-11e6-beee-db5964269983.html'],E
5110626,2016-08-11-105571,"To choose the Second Amendment in the manner in which he did -- perhaps unwittingly -- the double meaning that it had, wittingly or not, is very, very problematic and scary.",Nancy Pelosi,['Q170581'],2016-08-11 11:46:51,2,"[['Nancy Pelosi', '0.8779'], ['None', '0.0846'], ['Donald Trump', '0.0299'], ['President Obama', '0.0045'], ['Hillary Clinton', '0.0031']]","['http://cbsnews.com/news/house-democrats-gop-should-end-7-week-recess-to-tackle-zika-flint-gun-violence/', 'http://feeds.cbsnews.com/~r/primary_source/~3/DOujS2X15Uw/']",E
5116103,2016-07-25-081303,"Sometimes it feels like there is a war on Black folk in America. It feels like open season. In recent years, it seems we have returned to the Wild Wild West. We need common sense gun laws. We need to get guns out of the hands [ of those ] who can't use them responsibly, and I'm not just talking about civilians,",None,[],2016-07-25 19:00:00,7,"[['None', '0.9224'], ['Alton Sterling', '0.0457'], ['Philando Castile', '0.0319']]","['http://albanyherald.com/news/world_nation/black-caucus-kicks-off-dnc-with-church-revival/article_2ba1d41a-258a-5e68-a085-708f87b2a8ab.html', 'http://gwinnettdailypost.com/news/world_nation/black-caucus-kicks-off-dnc-with-church-revival/article_df879d15-a44e-5d95-b600-8ff5f433ae2b.html', 'http://houstonherald.com/news/politics/black-caucus-kicks-off-dnc-with-church-revival/article_4df33980-a067-513c-b46a-2b1293113740.html#comments', 'http://kmaland.com/politics/black-caucus-kicks-off-dnc-with-church-revival/article_27d219c0-3dac-5815-9f77-8b397fd58ea6.html', 'http://newtoncitizen.com/news/world_nation/black-caucus-kicks-off-dnc-with-church-revival/article_e7ce4052-422d-5853-8ac2-9872ca72425f.html', 'http://rockdalecitizen.com/news/world_nation/black-caucus-kicks-off-dnc-with-church-revival/article_d608af44-6d23-516d-8f0f-63e5af8e8d02.html', 'http://lakeexpo.com/news/politics/black-caucus-kicks-off-dnc-with-church-revival/article_dc844013-0835-5f8d-8a56-f9ad029c958b.html']",E
5118429,2016-04-22-139211,"With Scalia's death, the nine-justice SCOTUS is evenly divided our to four on whether the second amendment is a individual or collective right. Scalia's replacement will either maintain the work he did to defend these rights as individual, or will declare those individual rights as collective rights, thereby gutting the Second Amendment.",None,[],2016-04-22 19:43:11,1,"[['None', '0.588'], ['Antonin Scalia', '0.2458'], ['Chelsea Clinton', '0.1662']]",['http://feeds.inquisitr.com/~r/google/yDYq/~3/plz-1wR32Xw/'],E
