,quoteID,quotation,speaker,qids,date,numOccurrences,probas,urls,phase
5000624,2016-05-03-075491,Secretary Clinton has served much more diverse populations. She's represented the country as a whole both domestically and abroad. And I think that foreign policy experience is really important as well as her record on gun control and reproductive rights.,None,[],2016-05-03 00:00:00,1,"[['None', '0.8281'], ['Bernie Sanders', '0.1145'], ['Hillary Clinton', '0.0574']]",['http://ijpr.org/post/university-oregon-students-talk-about-voting-president'],E
5002629,2016-09-24-077605,"We understand some of the concerns that States may have, that this does not substitute the process for ratification. The process for ratification remains the ultimate way to get the Treaty into force, but we just hope that this step - which is an important step, because after the Iran deal, this constitutes one next key element in arms control, non-proliferation and ultimately disarmament - we hope that there will be more steps towards disarmament, because we all seek a world free of nuclear weapons at the end of the day,",Lassina Zerbo,['Q21062160'],2016-09-24 03:13:51,1,"[['Lassina Zerbo', '0.8599'], ['None', '0.1401']]",['http://indiablooms.com/ibns_new/world-details/F/8451/security-council-adopts-resolution-on-nuclear-non-proliferation-and-nuclear-disarmament.html'],E
5002831,2016-07-17-071343,"We've got to say to the gun lobby, you know what, there is a constitutional right for people to own guns, but there's also a constitutional right to life, liberty and the pursuit of happiness that enables us to have a safe country, where we are able to protect our children and others from this senseless gun violence.",Hillary Clinton,['Q6294'],2016-07-17 05:58:02,2,"[['Hillary Clinton', '0.8668'], ['None', '0.1184'], ['Donald Trump', '0.0148']]","['http://www.phillymag.com/articles/founding-fathers-trump-clinton-election/', 'http://www.washingtontimes.com/news/2016/sep/12/the-constitution-on-the-campaign-trail-in-2016/']",E
5004335,2016-09-13-023492,failed to deliver on its mission to speak in defense of the Second Amendment.,None,[],2016-09-13 20:00:00,2,"[['None', '0.624'], ['Katie Couric', '0.2297'], ['Stephanie Soechtig', '0.1463']]","['http://martinsvillebulletin.com/news/virginia-gun-rights-group-sues-katie-couric-over-misleading-edits/article_39593e96-f25c-5cb6-9d22-c10803b72398.html', 'http://dailyprogress.com/news/politics/va-gun-rights-group-sues-katie-couric-over-misleading-edits/article_d0ca666c-79ee-11e6-9974-93932ffa9f33.html']",E
5005330,2016-08-09-036926,"I ran the CIA. Now I'm endorsing Hillary Clinton Hillary Rodham Clinton Trump says `Second Amendment folks' could stop Clinton Five reasons Trump is losing GOP on national security Poll: Clinton leads Trump in Pa., Ohio, tied in Florida MORE.",Michael Morell,['Q1928651'],2016-08-09 19:00:02,1,"[['Michael Morell', '0.7318'], ['None', '0.2483'], ['Hillary Clinton', '0.0106'], ['Donald Trump', '0.0093']]",['http://thehill.com/opinion/brent-budowsky/290869-brent-budowsky-donald-trump-a-real-life-manchurian-candidate'],E
5005744,2016-08-09-043316,"If Hillary Clinton gets elected, I think she's going to decimate the Second Amendment, if not abolish it,",Donald Trump,"['Q22686', 'Q27947481']",2016-08-09 00:00:00,1,"[['Donald Trump', '0.5143'], ['None', '0.4857']]",['http://www.theblaze.com/stories/2016/08/09/trump-clarifies-controversial-second-amendment-flub-says-he-was-talking-about-political-power/?utm_source=TheBlaze.com&utm_medium=rss&utm_campaign=story&utm_content=trump-clarifies-controversial-second-amendment-flub-says-he-was-talking-about-political-power'],E
5017368,2016-05-12-009854,"As someone who values your Second Amendment protections, does that make you nervous?",Donald Trump,"['Q22686', 'Q27947481']",2016-05-12 21:15:00,1,"[['Donald Trump', '0.5781'], ['None', '0.4219']]",['http://www.vice.com/en_ca/read/why-some-gun-rights-advocates-still-arent-sold-on-donald-trump'],E
5019338,2016-08-10-044940,"If she gets to pick her judges -- nothing you can do, folks... Donald Trump, Augu ‌ st 9, 2016 Although, the Second Amendment people. Maybe there is. I don't know.",Donald Trump,"['Q22686', 'Q27947481']",2016-08-10 00:34:25,1,"[['Donald Trump', '0.6835'], ['None', '0.2638'], ['Hillary Clinton', '0.0527']]",['http://www.dailykos.com/story/2016/08/10/1558530/-OH-Sen-Strickland-D-Puts-The-Pressure-On-Portman-R-To-Un-Endorse-Trump-For-2nd-Amendment-Remark#comments'],E
5020792,2016-05-07-039175,"(Our republic) will sincerely fulfil its duties for the non-proliferation of nuclear weapons and work to realize the denuclearization of the world,",Kim Jong Un,"['Q14045951', 'Q56226']",2016-05-07 20:24:00,1,"[['Kim Jong Un', '0.5195'], ['None', '0.4805']]",['https://globalnews.ca/news/2687351/kim-jong-un-says-north-korea-wont-use-nukes-first/'],E
5021857,2016-05-11-113455,The Second Amendment doesn't protect the right to pick the gun we want.,None,[],2016-05-11 18:05:22,1,"[['None', '0.8276'], ['President Obama', '0.1724']]",['http://motherboard.vice.com/read/the-second-amendment-case-for-the-right-to-bear-encryption?trk_source=homepage-lede'],E
